host,apex,signal_priority,priority_reason,included_via_subdomain,included_via_redirect,included_reason,redirect_target,redirect_chain,mx_present,spf,dkim_found,dmarc_policy,dnssec,mail_vendors,http_present,http_status,portal_signal,ct_count,breach_flag,score
abn.group,abn.group,Medium,score=10 → Medium; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft'],False,False,,,http://www.abn.group/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,False,,False,,,10
abnconstruction.com.au,abnconstruction.com.au,Included,Redirects to host under covered apex pactconstruction.com.au,False,True,Redirects to host under covered apex pactconstruction.com.au,www.pactconstruction.com.au,http://abnconstruction.com.au/ -> https://www.pactconstruction.com.au,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
abngroup.com.au,abngroup.com.au,High,score=26 → High; +8 Primary brand domain; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.abngroup.com.au,https://abngroup.com.au/ -> https://www.abngroup.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com include:cust-spf.exacttarget.com ip4:149.72.250.214 ip4:168.245.54.93 include:_spf.salesforce.com include:spf.mandrillapp.com -all,True,reject,False,microsoft,True,404,True,,,26
abnhomecollective.com.au,abnhomecollective.com.au,Medium,score=10 → Medium; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft'],False,False,,,http://www.abnhomecollective.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,False,,False,,,10
abnrealty.com.au,abnrealty.com.au,Included,Redirects to covered apex parcelproperty.com.au,False,True,Redirects to covered apex parcelproperty.com.au,parcelproperty.com.au,http://abnrealty.com.au/ -> https://www.parcelproperty.com.au -> https://parcelproperty.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
apghomes.com,apghomes.com,Included,Redirects to host under covered apex wbhomes.com.au,False,True,Redirects to host under covered apex wbhomes.com.au,www.wbhomes.com.au,http://apghomes.com/ -> https://www.wbhomes.com.au,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com include:cust-spf.exacttarget.com include:sendgrid.net -all,True,reject,False,microsoft,True,301,True,,,0
apghomes.com.au,apghomes.com.au,Included,Redirects to host under covered apex wbhomes.com.au,False,True,Redirects to host under covered apex wbhomes.com.au,www.wbhomes.com.au,http://apghomes.com.au/ -> https://www.wbhomes.com.au,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
axiomconveyancing.com,axiomconveyancing.com,Included,Redirects to host under covered apex resolvefinance.com.au,False,True,Redirects to host under covered apex resolvefinance.com.au,www.resolvefinance.com.au,http://axiomconveyancing.com/ -> https://www.resolvefinance.com.au/settlements-and-legal/?redirect=true,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
axiomconveyancing.com.au,axiomconveyancing.com.au,Included,Redirects to host under covered apex resolvefinance.com.au,False,True,Redirects to host under covered apex resolvefinance.com.au,www.resolvefinance.com.au,http://axiomconveyancing.com.au/ -> https://www.resolvefinance.com.au/settlements-and-legal/?redirect=true,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
bluebayfinance.com.au,bluebayfinance.com.au,Included,Redirects to covered apex bluebayhomeloans.com.au,False,True,Redirects to covered apex bluebayhomeloans.com.au,bluebayhomeloans.com.au,http://bluebayfinance.com.au/ -> https://bluebayhomeloans.com.au,True,v=spf1 ip4:103.233.149.8/29 mx include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,503,True,,,0
bluebayhomeloans.com.au,bluebayhomeloans.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,bluebayhomeloans.com.au,https://bluebayhomeloans.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 ip4:198.2.128.0/18 include:spf.protection.outlook.com include:cust-spf.exacttarget.com include:sendgrid.net include:servers.mcsv.net -all,True,reject,False,microsoft,True,301,True,,,18
bninvestments.com.au,bninvestments.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['barracuda']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.bninvestments.com.au,https://bninvestments.com.au/ -> https://www.bninvestments.com.au/,True,v=spf1 include:spf.ess.au.barracudanetworks.com include:spf.protection.outlook.com -all,True,reject,False,barracuda,True,301,True,,,18
boeingp.com.au,boeingp.com.au,Medium,score=10 → Medium; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft'],False,False,,,http://www.boeingp.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com a:chi-web-01.simprocloud.com -all,True,reject,False,microsoft,False,,False,,,10
boeingplumbing.com.au,boeingplumbing.com.au,Included,Redirects to host under covered apex abngroup.com.au,False,True,Redirects to host under covered apex abngroup.com.au,www.abngroup.com.au,http://boeingplumbing.com.au/ -> https://www.abngroup.com.au,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
boutiquehomes.com.au,boutiquehomes.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.boutiquehomes.com.au,https://boutiquehomes.com.au/ -> https://www.boutiquehomes.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com include:cust-spf.exacttarget.com -all,True,reject,False,microsoft,True,301,True,,,18
boutiqueproperty.com.au,boutiqueproperty.com.au,Medium,score=10 → Medium; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft'],False,False,,,http://www.boutiqueproperty.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,False,,False,,,10
celebrationhomes.com.au,celebrationhomes.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.celebrationhomes.com.au,https://celebrationhomes.com.au/ -> https://www.celebrationhomes.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com a:mta.edm.abngroup.com.au include:cust-spf.exacttarget.com -all,True,reject,False,microsoft,True,301,True,,,18
celebrationhomeswa.com,celebrationhomeswa.com,Included,Redirects to host under covered apex celebrationhomes.com.au,False,True,Redirects to host under covered apex celebrationhomes.com.au,www.celebrationhomes.com.au,http://celebrationhomeswa.com/ -> https://www.celebrationhomes.com.au,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
concretus.com.au,concretus.com.au,Included,Redirects to host under covered apex abngroup.com.au,False,True,Redirects to host under covered apex abngroup.com.au,www.abngroup.com.au,http://www.concretus.com.au/ -> https://www.abngroup.com.au/concretus/ -> https://www.abngroup.com.au/companies/concretus/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
csol.com.au,csol.com.au,Included,Redirects to host under covered apex abngroup.com.au,False,True,Redirects to host under covered apex abngroup.com.au,www.abngroup.com.au,http://csol.com.au/ -> https://abngroup.com.au/our-companies/ceiling-solutions/ -> https://www.abngroup.com.au/companies/ceiling-solutions/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
dalealcock.com,dalealcock.com,Included,Redirects to host under covered apex dalealcock.com.au,False,True,Redirects to host under covered apex dalealcock.com.au,www.dalealcock.com.au,http://dalealcock.com/ -> https://www.dalealcock.com.au,True,v=spf1 ip4:103.233.149.8/29 mx include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
dalealcock.com.au,dalealcock.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.dalealcock.com.au,https://dalealcock.com.au/ -> https://www.dalealcock.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com a:mta.edm.abngroup.com.au include:cust-spf.exacttarget.com -all,True,reject,False,microsoft,True,301,True,,,18
dalealcockhomes.com.au,dalealcockhomes.com.au,Included,Redirects to host under covered apex dalealcock.com.au,False,True,Redirects to host under covered apex dalealcock.com.au,www.dalealcock.com.au,http://dalealcockhomes.com.au/ -> https://www.dalealcock.com.au,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
dalealcocksw.com.au,dalealcocksw.com.au,Medium,score=10 → Medium; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft'],False,False,,,http://www.dalealcocksw.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,False,,False,,,10
gohighlevel.com,gohighlevel.com,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['google']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.gohighlevel.com,https://gohighlevel.com/ -> https://www.gohighlevel.com/,True,v=spf1 include:_spf.google.com include:mailgun.org include:spf.tipalti.com include:sendgrid.net +a +mx ip4:66.147.238.90 ip4:161.38.196.192 -all,True,reject,False,google,True,301,True,,,18
hipointroofing.com.au,hipointroofing.com.au,Included,Redirects to host under covered apex abngroup.com.au,False,True,Redirects to host under covered apex abngroup.com.au,www.abngroup.com.au,http://hipointroofing.com.au/ -> https://www.abngroup.com.au,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
home-collective.com.au,home-collective.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,home-collective.com.au,https://home-collective.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com include:cust-spf.exacttarget.com include:sendgrid.net -all,True,reject,False,microsoft,True,301,True,,,18
homeassist.com.au,homeassist.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.homeassist.com.au,https://homeassist.com.au/ -> https://www.homeassist.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com include:cust-spf.exacttarget.com -all,True,reject,False,microsoft,True,301,True,,,18
homebuyers.com.au,homebuyers.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.homebuyers.com.au,https://homebuyers.com.au/ -> https://www.homebuyers.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com a:mta.edm.abngroup.com.au include:cust-spf.exacttarget.com -all,True,reject,False,microsoft,True,301,True,,,18
homebuyerscentre.com.au,homebuyerscentre.com.au,Included,Redirects to host under covered apex homebuyers.com.au,False,True,Redirects to host under covered apex homebuyers.com.au,www.homebuyers.com.au,http://homebuyerscentre.com.au/ -> https://www.homebuyers.com.au,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com include:sendgrid.net -all,True,reject,False,microsoft,True,301,True,,,0
homebuyerscentre.com.au,homebuyerscentre.com.au,Included,Redirects to host under covered apex homebuyers.com.au,False,True,Redirects to host under covered apex homebuyers.com.au,www.homebuyers.com.au,http://homebuyerscentre.com.au/ -> https://www.homebuyers.com.au,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com include:sendgrid.net -all,True,reject,False,microsoft,True,301,True,,,0
kanyinicapital.com.au,kanyinicapital.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,kanyinicapital.com.au,https://kanyinicapital.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,18
moretocelebrate.com.au,moretocelebrate.com.au,Included,Redirects to host under covered apex celebrationhomes.com.au,False,True,Redirects to host under covered apex celebrationhomes.com.au,www.celebrationhomes.com.au,http://moretocelebrate.com.au/ -> https://www.celebrationhomes.com.au,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
myhomeplan.com.au,myhomeplan.com.au,Included,Redirects to host under covered apex resolvefinance.com.au,False,True,Redirects to host under covered apex resolvefinance.com.au,www.resolvefinance.com.au,http://myhomeplan.com.au/ -> https://www.resolvefinance.com.au/home-loans/my-home-plan/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com a:mta.edm.abngroup.com.au include:cust-spf.exacttarget.com include:sendgrid.net -all,True,reject,False,microsoft,True,301,True,,,0
ownitperth.com.au,ownitperth.com.au,High,score=13 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint,False,False,,www.ownitperth.com.au,http://www.ownitperth.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com a:mta.edm.abngroup.com.au -all,True,reject,False,microsoft,True,409,False,,,13
pactconstruction.com.au,pactconstruction.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.pactconstruction.com.au,https://pactconstruction.com.au/ -> https://www.pactconstruction.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com include:spf.dynect.net -all,True,reject,False,microsoft,True,301,True,,,18
parcelproperty.com.au,parcelproperty.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,parcelproperty.com.au,https://parcelproperty.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com include:_spf.salesforce.com include:spf.mandrillapp.com -all,True,reject,False,microsoft,True,301,True,,,18
resolvebroker.com.au,resolvebroker.com.au,Medium,score=10 → Medium; +4 MX present; +1 SPF ~all (soft fail); +2 DKIM discovered; +1 DMARC p=none; +1 DNSSEC absent; +1 Mail vendors ['microsoft'],False,False,,,http://www.resolvebroker.com.au/,True,v=spf1 include:spf.protection.outlook.com include:spf.au.exclaimer.net include:sendgrid.net include:activepipe.net include:spfa.cpmails.com ~all,True,none,False,microsoft,False,,False,,,10
resolveconveyancing.com.au,resolveconveyancing.com.au,Included,Redirects to host under covered apex resolvefinance.com.au,False,True,Redirects to host under covered apex resolvefinance.com.au,www.resolvefinance.com.au,http://resolveconveyancing.com.au/ -> https://www.resolvefinance.com.au/conveyancing/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
resolvefinance.com.au,resolvefinance.com.au,High,score=18 → High; +4 MX present; +1 SPF ~all (soft fail); +2 DKIM discovered; +1 DMARC p=quarantine; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.resolvefinance.com.au,https://resolvefinance.com.au/ -> https://www.resolvefinance.com.au/,True,v=spf1 ip4:68.232.137.43 ip4:68.232.131.146 ip4:136.147.184.205 ip4:135.84.81.0/24 ip4:135.84.83.0/24 ip4:136.143.160.0/24 ip4:165.173.128.0/24 ip4:135.84.82.0/24 ip4:136.143.161.0/24 ip4:103.233.149.8/29 ip4:135.84.80.98 include:spf.protection.outlook.com include:activepipe.net include:sendgrid.net include:spf.zoho.com include:zeptomail.net ~all,True,quarantine,False,microsoft,True,301,True,,,18
resolvefinancialplanning.com.au,resolvefinancialplanning.com.au,Medium,score=10 → Medium; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft'],False,False,,,http://www.resolvefinancialplanning.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com include:cust-spf.exacttarget.com -all,True,reject,False,microsoft,False,,False,,,10
resolvehomeloans.com.au,resolvehomeloans.com.au,Included,Redirects to host under covered apex resolvefinance.com.au,False,True,Redirects to host under covered apex resolvefinance.com.au,www.resolvefinance.com.au,http://resolvehomeloans.com.au/ -> https://www.resolvefinance.com.au/home-loans/our-very-own-loans/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
resolvesettlements.com.au,resolvesettlements.com.au,Included,Redirects to host under covered apex resolvefinance.com.au,False,True,Redirects to host under covered apex resolvefinance.com.au,www.resolvefinance.com.au,http://resolvesettlements.com.au/ -> https://www.resolvefinance.com.au/settlements-and-legal/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
rmhcwa.org.au,rmhcwa.org.au,High,score=19 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DMARC p=none; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.rmhcwa.org.au,https://rmhcwa.org.au/ -> https://www.rmhcwa.org.au/,True,v=spf1 ip4:61.68.39.58 ip4:180.150.88.7 ip4:205.201.128.0/20 ip4:198.2.128.0/18 ip4:148.105.0.0/16 include:spf.protection.outlook.com include:relay.mailchannels.net -all,True,none,False,microsoft,True,301,True,,,19
shorecapital.com.au,shorecapital.com.au,Medium,score=10 → Medium; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft'],False,False,,,http://www.shorecapital.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,False,,False,,,10
themaker.com.au,themaker.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.themaker.com.au,https://themaker.com.au/ -> https://www.themaker.com.au/,True,v=spf1 mx include:spf.protection.outlook.com ip4:103.233.149.8/29 ip4:103.9.65.40 ip4:22.89.33.202/31 ip4:202.89.33.204/30 ip4:202.89.33.208/31 ip4:45.77.48.222 ip4:149.28.183.163 include:ayudahosting.com.au include:zcsend.net -all,True,reject,False,microsoft,True,301,True,,,18
wbhomes.com.au,wbhomes.com.au,High,score=18 → High; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['microsoft']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.wbhomes.com.au,https://wbhomes.com.au/ -> https://www.wbhomes.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com a:mta.edm.abngroup.com.au include:cust-spf.exacttarget.com -all,True,reject,False,microsoft,True,301,True,,,18
wbn-homes.com.au,wbn-homes.com.au,Included,Redirects to host under covered apex wbhomes.com.au,False,True,Redirects to host under covered apex wbhomes.com.au,www.wbhomes.com.au,http://wbn-homes.com.au/ -> https://wbhomes.com.au -> https://www.wbhomes.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
wbnhomes.com.au,wbnhomes.com.au,Included,Redirects to host under covered apex wbhomes.com.au,False,True,Redirects to host under covered apex wbhomes.com.au,www.wbhomes.com.au,http://wbnhomes.com.au/ -> https://wbhomes.com.au -> https://www.wbhomes.com.au/,True,v=spf1 mx ip4:103.233.149.8/29 include:spf.protection.outlook.com -all,True,reject,False,microsoft,True,301,True,,,0
