domain,has_mx,mail_vendors,spf_present,spf_risky_all,dkim_any,dmarc_present,dmarc_policy,dnssec,wildcard,risky_cname_count,ct_subdomain_count,priority,priority_reason,signal_priority,signal_priority_reason
memberanalytics-data-out-prod,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
bjs-gen-prod,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
bjs-dods-prod,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
bjsonline,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
wb00dcdnsp13,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
svc_datapower_gen,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
ue00comapp01,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
cloudbjs.com,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
bjs-digital-prod,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
bjsadmin,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
svc_talend_pii,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
bjs-edw-edd-prod,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
dctest.inc,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
bjw2k.asg,False,,False,False,False,False,,False,False,0,0,Low,score=1 → Low; DNSSEC absent (+1),Low,score=6 → Low; No SPF (+2); No DMARC (+3); No DKIM selectors found (+1)
bjs.com,True,proofpoint,True,False,False,True,reject,False,False,0,0,Low,score=3 → Low; MX present (+3); DMARC p=reject (−1); DNSSEC absent (+1),Low,score=3 → Low; MX present (+4); DMARC p=reject (−3); No DKIM selectors found (+1); Mail vendors ['proofpoint'] (+1)
oe.bjs.com,True,,True,False,False,False,,False,False,0,0,Medium,score=4 → Medium; MX present (+3); DNSSEC absent (+1),Medium,score=8 → Medium; MX present (+4); No DMARC (+3); No DKIM selectors found (+1)
email.bjs.com,True,,True,False,False,False,,False,False,0,0,Medium,score=4 → Medium; MX present (+3); DNSSEC absent (+1),Medium,score=8 → Medium; MX present (+4); No DMARC (+3); No DKIM selectors found (+1)
berkleyjensen.com,False,proofpoint,True,False,False,True,reject,False,False,0,0,Low,score=0 → Low; DMARC p=reject (−1); DNSSEC absent (+1),Low,score=-1 → Low; DMARC p=reject (−3); No DKIM selectors found (+1); Mail vendors ['proofpoint'] (+1)
em.bjs.com,True,,True,False,False,True,quarantine,False,False,0,0,Medium,score=5 → Medium; MX present (+3); DMARC policy quarantine (+1); DNSSEC absent (+1),Medium,score=8 → Medium; MX present (+4); DMARC policy quarantine (+3); No DKIM selectors found (+1)
wellesleyfarms.com,False,proofpoint,True,False,False,True,reject,False,False,0,0,Low,score=0 → Low; DMARC p=reject (−1); DNSSEC absent (+1),Low,score=-1 → Low; DMARC p=reject (−3); No DKIM selectors found (+1); Mail vendors ['proofpoint'] (+1)
