host,apex,signal_priority,priority_reason,included_via_subdomain,included_via_redirect,included_reason,redirect_target,redirect_chain,mx_present,spf,dkim_found,dmarc_policy,dnssec,mail_vendors,http_present,http_status,portal_signal,ct_count,breach_flag,score
mynrma.com.au,mynrma.com.au,High,score=25 → High; +8 Primary brand domain; +4 MX present; +1 SPF ~all (soft fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.mynrma.com.au,https://mynrma.com.au/ -> https://www.mynrma.com.au/,True,v=spf1 ip4:202.4.183.0/29 ip4:23.23.239.161 ip4:54.243.244.199 ip4:118.127.72.38 ip4:202.9.114.166 include:au._netblocks.mimecast.com include:spf.protection.outlook.com ~all,True,reject,False,mimecast,True,301,True,,,25
sixt.com.au,sixt.com.au,High,score=16 → High; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.sixt.com.au,https://sixt.com.au/ -> https://www.sixt.com.au/,True,v=spf1 ip4:101.53.172.217/18 ip4:101.53.172.221 include:au._netblocks.mimecast.com ip4:185.97.227.11 ip4:185.97.224.11 include:amazonses.com ip4:99.80.150.234 ip4:54.194.44.36 -all,False,reject,False,mimecast,True,301,True,,,16
fantasea.com.au,fantasea.com.au,High,score=16 → High; +4 MX present; +1 SPF ~all (soft fail); +1 DMARC p=quarantine; +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.fantasea.com.au,https://fantasea.com.au/ -> https://www.fantasea.com.au/,True,v=spf1 ip4:144.140.228.169 ip4:202.160.105.83 include:au._netblocks.mimecast.com mx include:_spf.createsend.com ~all,False,quarantine,False,mimecast,True,301,True,,,16
myfastferry.com.au,myfastferry.com.au,High,score=17 → High; +4 MX present; +1 SPF ~all (soft fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.myfastferry.com.au,https://myfastferry.com.au/ -> https://www.myfastferry.com.au/,True,v=spf1 include:au._netblocks.mimecast.com include:amazonses.com ~all,True,reject,False,mimecast,True,301,True,,,17
cradlemountainhotel.com.au,cradlemountainhotel.com.au,High,score=16 → High; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.cradlemountainhotel.com.au,https://cradlemountainhotel.com.au/ -> https://www.cradlemountainhotel.com.au/,True,v=spf1 include:au._netblocks.mimecast.com include:_spf.travelclick.com ip4:192.29.151.17 ip4:192.29.149.57 include:oracleindustry.com -all,False,reject,False,mimecast,True,301,True,,,16
nrmaparks.com.au,nrmaparks.com.au,Medium,score=11 → Medium; +4 MX present; +2 SPF -all (hard fail); +2 DKIM discovered; +1 DMARC p=quarantine; +1 DNSSEC absent; +1 Mail vendors ['mimecast'],False,False,,,http://www.nrmaparks.com.au/,True,v=spf1 include:au._netblocks.mimecast.com a:sydhost01.acumendata.com ip4:149.72.218.140 ip4:180.189.154.43 ip4:180.189.154.39 ip4:180.189.154.36 include:spf.newbook.cloud include:mail.zendesk.com -all,True,quarantine,False,mimecast,False,,False,,,11
nrmatravel.com.au,nrmatravel.com.au,Medium,score=8 → Medium; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast'],False,False,,,http://www.nrmatravel.com.au/,True,v=spf1 -all,False,reject,False,mimecast,False,,False,,,8
nrmaparksandresorts.com.au,nrmaparksandresorts.com.au,High,score=16 → High; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.nrmaparksandresorts.com.au,https://nrmaparksandresorts.com.au/ -> https://www.nrmaparksandresorts.com.au/,True,v=spf1 include:au._netblocks.mimecast.com ip4:149.72.218.140 include:spf.newbook.cloud -all,False,reject,False,mimecast,True,301,True,,,16
budgewoiholidaypark.com.au,budgewoiholidaypark.com.au,Medium,score=8 → Medium; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast'],False,False,,,http://www.budgewoiholidaypark.com.au/,True,v=spf1 include:spf.protection.outlook.com include:au._netblocks.mimecast.com -all,False,reject,False,mimecast,False,,False,,,8
cantonbeachholidaypark.com.au,cantonbeachholidaypark.com.au,Medium,score=8 → Medium; +4 MX present; +2 SPF -all (hard fail); +1 DNSSEC absent; +1 Mail vendors ['mimecast'],False,False,,,http://www.cantonbeachholidaypark.com.au/,True,v=spf1 include:spf.protection.outlook.com include:au._netblocks.mimecast.com -all,False,reject,False,mimecast,False,,False,,,8
