host,apex,signal_priority,priority_reason,included_via_subdomain,included_via_redirect,included_reason,redirect_target,redirect_chain,mx_present,spf,dkim_found,dmarc_policy,dnssec,mail_vendors,http_present,http_status,portal_signal,ct_count,breach_flag,score
github.com/uts-eresearch,github.com,Included,Subdomain of covered apex github.com,True,False,Subdomain of covered apex github.com,github.com,https://github.com/uts-eresearch/,False,,False,,False,,True,301,True,,,0
activateuts.com.au,activateuts.com.au,High,score=18 → High; +4 MX present; +1 SPF ~all (soft fail); +2 DKIM discovered; +1 DMARC p=none; +1 DNSSEC absent; +1 Mail vendors ['google']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.activateuts.com.au,https://activateuts.com.au/ -> https://www.activateuts.com.au/,True,v=spf1 mx a include:amazonses.com ip4:54.252.206.99 include:_spf.google.com ~all,True,none,False,google,True,301,True,,,18
utscollege.edu.au,utscollege.edu.au,High,score=17 → High; +4 MX present; +2 SPF -all (hard fail); +1 DMARC p=none; +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,utscollege.edu.au,https://utscollege.edu.au/ -> https://utscollege.edu.au/au,True,v=spf1 include:_spf.utscollege_edu_au._d.easydmarc.pro -all,False,none,False,mimecast,True,301,True,,,17
utsedu.sharepoint.com,sharepoint.com,Included,Subdomain of covered apex sharepoint.com,True,False,Subdomain of covered apex sharepoint.com,,http://www.utsedu.sharepoint.com/,False,,False,,False,,False,,False,,,0
github.com/uts,github.com,Included,Subdomain of covered apex github.com,True,False,Subdomain of covered apex github.com,github.com,https://github.com/uts/,False,,False,,False,,True,301,True,,,0
au.edu.uts,au.edu.uts,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
uts:eresearch,uts:eresearch,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
uts-eresearch,uts-eresearch,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
uts.ac,uts.ac,Included,Redirects to host under covered apex uts.edu.au,False,True,Redirects to host under covered apex uts.edu.au,www.uts.edu.au,https://uts.ac/ -> https://www.uts.edu.au,False,,False,,False,,True,404,False,,,0
cricos 00099f,cricos 00099f,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
utsworkspace.cloud.com,cloud.com,Included,Subdomain of covered apex cloud.com,True,False,Subdomain of covered apex cloud.com,utsworkspace.cloud.com,https://utsworkspace.cloud.com/ -> https://utsworkspace.cloud.com/Citrix/StoreWeb/,False,,False,,False,,True,403,True,,,0
uts.edu.au,uts.edu.au,High,score=25 → High; +8 Primary brand domain; +4 MX present; +1 SPF ~all (soft fail); +2 DKIM discovered; +1 DNSSEC absent; +1 Mail vendors ['mimecast']; +3 Active HTTP endpoint; +5 Retail/portal paths present,False,False,,www.uts.edu.au,https://uts.edu.au/ -> https://www.uts.edu.au/,True,v=spf1 ip4:129.127.18.87 ip4:203.101.230.141 ip4:165.193.85.111 ip4:165.193.85.61 ip4:138.25.0.0/16 include:_spf.salesforce.com include:au._netblocks.mimecast.com include:spf.protection.outlook.com a:redcap.research.uts.edu.au a:smmail.aussurveys.com mx:mail.studylink.com include:amazonses.com include:servers.mcsv.net ip4:159.183.94.63 ip4:167.89.43.190 ~all,True,reject,False,mimecast,True,301,True,,,25
university of technology sydney,university of technology sydney,Medium,Custom defined search term (non-domain). Skipped DNS/HTTP checks.,False,False,,,,False,,False,,,,False,,False,,,0
